time,Thi Mean,Thi Std,Tho Mean,Tho Std,Tci Mean,Tci Std,Tco Mean,Tco Std
0.000,26.610,0.090,26.869,0.093,26.223,0.067,2798.251,0.117
10.000,26.650,0.075,26.908,0.079,26.159,0.085,2798.151,0.173
20.000,26.603,0.087,26.908,0.088,26.239,0.067,2798.000,0.374
30.000,26.610,0.082,26.893,0.084,26.183,0.087,2798.117,0.197
40.000,26.579,0.063,26.908,0.059,26.246,0.038,2798.234,0.138
50.000,26.642,0.056,26.893,0.066,26.191,0.075,2798.067,0.530
60.000,26.634,0.068,26.845,0.115,26.207,0.073,2798.134,0.326
70.000,26.587,0.070,26.893,0.130,26.239,0.076,2798.151,0.304
80.000,26.658,0.063,26.885,0.067,26.254,0.033,2798.167,0.095
90.000,26.610,0.098,26.940,0.092,26.207,0.073,2798.234,0.138
100.000,26.626,0.041,26.901,0.090,26.175,0.104,2798.050,0.479
110.000,26.610,0.050,26.877,0.086,26.246,0.084,2798.117,0.226
120.000,26.634,0.086,26.924,0.095,26.183,0.079,2798.218,0.132
130.000,26.682,0.059,26.893,0.125,26.183,0.079,2797.900,0.481
140.000,26.610,0.073,26.924,0.115,26.167,0.106,2797.849,0.715
150.000,26.666,0.059,26.901,0.073,26.199,0.069,2798.168,0.147
160.000,26.650,0.065,26.901,0.090,26.167,0.075,2797.950,0.559
170.000,26.618,0.038,26.901,0.090,26.215,0.065,2798.117,0.380
180.000,26.610,0.050,26.885,0.077,26.207,0.073,2798.134,0.138
190.000,26.610,0.073,26.885,0.120,26.183,0.069,2798.100,0.181
200.000,26.547,0.114,26.885,0.077,26.175,0.062,2798.100,0.276
210.000,26.634,0.056,26.908,0.109,26.223,0.067,2798.167,0.201
220.000,26.642,0.085,26.877,0.077,26.183,0.058,2798.134,0.238
230.000,26.603,0.070,26.893,0.076,26.262,0.102,2798.184,0.137
240.000,26.690,0.073,26.908,0.109,26.199,0.058,2798.234,0.194
250.000,26.642,0.056,26.901,0.050,26.152,0.077,2797.933,0.671
260.000,26.587,0.087,26.829,0.095,26.191,0.037,2798.184,0.137
270.000,26.666,0.095,26.861,0.076,26.199,0.069,2798.201,0.123
280.000,26.650,0.075,26.877,0.108,26.183,0.069,2798.117,0.226
290.000,26.626,0.067,26.861,0.107,26.223,0.055,2798.201,0.215
300.000,26.595,0.075,26.861,0.076,26.199,0.069,2798.184,0.112
310.000,26.603,0.079,26.893,0.084,26.191,0.083,2798.050,0.472
320.000,26.603,0.070,26.845,0.102,26.215,0.075,2798.067,0.316
330.000,26.610,0.063,26.877,0.056,26.191,0.065,2798.117,0.372
340.000,26.642,0.107,26.932,0.105,26.199,0.102,2798.251,0.117
350.000,26.595,0.099,26.877,0.068,26.215,0.065,2798.335,0.095
360.000,26.579,0.063,26.893,0.084,26.207,0.073,2798.218,0.106
370.000,26.650,0.075,26.829,0.109,26.223,0.067,2798.033,0.550
380.000,26.595,0.075,26.948,0.114,26.223,0.076,2798.100,0.405
390.000,26.642,0.041,26.877,0.101,26.183,0.058,2798.167,0.421
400.000,26.618,0.084,26.908,0.070,26.246,0.038,2798.184,0.209
410.000,26.650,0.075,26.877,0.077,26.199,0.115,2798.285,0.141
420.000,26.595,0.084,26.869,0.086,26.231,0.093,2798.117,0.389
430.000,26.610,0.105,26.837,0.092,26.231,0.067,2798.134,0.274
440.000,26.634,0.077,26.869,0.056,26.231,0.042,2798.201,0.255
450.000,26.658,0.090,26.893,0.054,26.183,0.079,2798.301,0.138
460.000,26.626,0.056,26.877,0.086,26.191,0.053,2798.218,0.132
470.000,26.650,0.065,26.893,0.054,26.215,0.099,2798.268,0.142
480.000,26.603,0.045,26.893,0.113,26.246,0.084,2798.067,0.433
490.000,26.595,0.065,26.861,0.066,26.207,0.062,2798.251,0.298
500.000,26.626,0.120,26.869,0.056,26.183,0.045,2797.916,0.581
510.000,26.626,0.056,26.932,0.050,26.215,0.053,2797.966,0.737
520.000,26.610,0.098,26.908,0.045,26.175,0.050,2798.117,0.197
530.000,26.642,0.056,26.861,0.076,26.175,0.062,2798.218,0.173
540.000,26.610,0.073,26.916,0.065,26.207,0.033,2798.335,0.123
550.000,26.626,0.056,26.908,0.115,26.191,0.053,2798.184,0.158
560.000,26.618,0.099,26.877,0.086,26.223,0.055,2798.251,0.162
570.000,26.642,0.056,26.869,0.067,26.144,0.067,2798.151,0.106
580.000,26.618,0.092,26.893,0.084,26.183,0.069,2798.201,0.184
590.000,26.658,0.082,26.893,0.076,26.183,0.087,2798.151,0.173
600.000,26.603,0.070,26.901,0.063,26.223,0.100,2798.268,0.142
610.000,26.626,0.093,26.869,0.086,26.207,0.073,2798.067,0.487
620.000,26.658,0.073,26.869,0.056,26.239,0.125,2798.167,0.200
630.000,26.650,0.054,26.908,0.059,26.223,0.085,2797.966,0.647
640.000,26.658,0.034,26.893,0.066,26.215,0.084,2798.201,0.053
650.000,26.642,0.093,26.853,0.073,26.159,0.113,2798.251,0.117
660.000,26.626,0.101,26.924,0.088,26.207,0.073,2798.234,0.081
670.000,26.626,0.041,26.901,0.082,26.231,0.107,2798.268,0.088
680.000,26.595,0.065,26.869,0.077,26.191,0.075,2798.285,0.197
690.000,26.650,0.075,26.869,0.067,26.199,0.045,2798.285,0.162
700.000,26.626,0.067,26.940,0.100,26.231,0.042,2798.201,0.166
710.000,26.634,0.077,26.869,0.101,26.207,0.090,2797.983,0.660
720.000,26.642,0.093,26.893,0.092,26.199,0.079,2798.167,0.243
730.000,26.650,0.065,26.885,0.056,26.215,0.099,2798.335,0.200
740.000,26.603,0.087,26.916,0.084,26.207,0.090,2798.318,0.106
750.000,26.650,0.092,26.893,0.076,26.215,0.053,2798.285,0.117
760.000,26.610,0.082,26.901,0.082,26.207,0.097,2798.285,0.086
770.000,26.610,0.063,26.861,0.076,26.207,0.062,2798.000,0.526
780.000,26.650,0.092,26.869,0.067,26.231,0.056,2798.184,0.326
790.000,26.642,0.067,26.908,0.070,26.199,0.069,2798.251,0.141
800.000,26.610,0.073,26.924,0.095,26.239,0.067,2798.184,0.209
810.000,26.634,0.077,26.869,0.041,26.191,0.105,2798.352,0.079
820.000,26.642,0.107,26.940,0.076,26.223,0.076,2798.201,0.147
830.000,26.618,0.092,26.885,0.077,26.175,0.050,2798.184,0.000
840.000,26.603,0.087,26.869,0.114,26.223,0.067,2798.184,0.112
850.000,26.618,0.075,26.908,0.088,26.215,0.038,2798.184,0.209
860.000,26.595,0.075,26.877,0.042,26.215,0.075,2798.201,0.123
