time,Thi Mean,Thi Std,Tho Mean,Tho Std,Tci Mean,Tci Std,Tco Mean,Tco Std
0.000,54.842,0.105,49.242,0.183,0.546,0.077,1.894,0.081
10.000,54.749,0.091,49.281,0.092,0.570,0.062,1.886,0.084
20.000,54.819,0.082,49.313,0.098,0.570,0.062,1.837,0.084
30.000,54.749,0.098,49.313,0.091,0.570,0.050,1.813,0.046
40.000,54.788,0.174,49.321,0.101,0.586,0.065,1.813,0.060
50.000,54.811,0.088,49.336,0.123,0.610,0.053,1.829,0.111
60.000,54.819,0.127,49.305,0.101,0.594,0.045,1.764,0.094
70.000,54.866,0.113,49.281,0.076,0.594,0.069,1.797,0.077
80.000,54.741,0.090,49.297,0.137,0.586,0.075,1.764,0.086
90.000,54.804,0.068,49.242,0.179,0.562,0.084,1.707,0.057
100.000,54.757,0.084,49.250,0.103,0.554,0.076,1.805,0.064
110.000,54.780,0.072,49.344,0.106,0.610,0.065,1.707,0.110
120.000,54.811,0.096,49.313,0.123,0.625,0.100,1.732,0.060
130.000,54.780,0.088,49.321,0.114,0.625,0.067,1.667,0.105
140.000,54.803,0.139,49.281,0.134,0.554,0.093,1.667,0.135
150.000,54.710,0.086,49.219,0.096,0.578,0.058,1.691,0.042
160.000,54.819,0.097,49.242,0.086,0.562,0.075,1.691,0.069
170.000,54.835,0.105,49.211,0.105,0.610,0.065,1.683,0.086
180.000,54.710,0.077,49.274,0.134,0.594,0.095,1.634,0.094
190.000,54.710,0.086,49.274,0.099,0.538,0.041,1.650,0.060
200.000,54.819,0.097,49.226,0.101,0.578,0.058,1.667,0.081
210.000,54.780,0.102,49.250,0.081,0.570,0.050,1.610,0.069
220.000,54.827,0.075,49.203,0.112,0.594,0.087,1.618,0.057
230.000,54.803,0.139,49.101,0.148,0.602,0.082,1.642,0.064
240.000,54.804,0.077,48.834,0.130,0.586,0.083,1.659,0.054
250.000,54.780,0.155,48.858,0.116,0.570,0.073,1.659,0.077
260.000,54.695,0.104,48.693,0.094,0.602,0.062,1.707,0.079
270.000,54.780,0.155,48.819,0.105,0.594,0.079,1.650,0.060
280.000,54.796,0.097,49.023,0.174,0.570,0.073,1.715,0.067
290.000,54.780,0.141,49.093,0.081,0.594,0.058,1.748,0.071
300.000,54.780,0.131,49.070,0.140,0.554,0.076,1.756,0.075
310.000,54.733,0.131,49.140,0.081,0.578,0.095,1.764,0.121
320.000,54.749,0.084,49.140,0.110,0.554,0.076,1.829,0.097
330.000,54.741,0.110,49.085,0.140,0.546,0.056,1.837,0.084
340.000,54.741,0.090,49.125,0.106,0.594,0.079,1.829,0.046
350.000,54.765,0.084,49.125,0.084,0.618,0.067,1.837,0.114
360.000,54.757,0.105,49.148,0.107,0.570,0.050,1.894,0.105
370.000,54.726,0.107,49.219,0.110,0.562,0.065,1.894,0.071
380.000,54.788,0.139,49.250,0.081,0.546,0.085,1.967,0.064
390.000,54.679,0.076,49.234,0.091,0.531,0.084,1.992,0.105
400.000,54.671,0.152,49.187,0.112,0.570,0.082,2.016,0.042
410.000,54.726,0.166,49.219,0.137,0.586,0.075,1.976,0.081
420.000,54.687,0.098,49.172,0.121,0.594,0.069,1.984,0.077
430.000,54.663,0.151,49.219,0.096,0.594,0.115,2.049,0.100
440.000,54.726,0.093,49.219,0.096,0.570,0.073,2.008,0.086
450.000,54.656,0.102,49.187,0.134,0.538,0.076,2.057,0.118
460.000,54.772,0.104,49.172,0.121,0.594,0.058,2.106,0.043
470.000,54.772,0.142,49.117,0.112,0.618,0.055,2.097,0.079
480.000,54.671,0.075,49.109,0.084,0.610,0.075,2.171,0.086
490.000,54.679,0.105,49.062,0.132,0.562,0.106,2.114,0.095
500.000,54.733,0.088,49.078,0.157,0.570,0.073,2.146,0.086
510.000,54.648,0.113,49.148,0.058,0.570,0.090,2.073,0.060
520.000,54.710,0.119,49.117,0.092,0.586,0.065,2.106,0.069
530.000,54.726,0.107,49.085,0.130,0.618,0.076,2.122,0.077
540.000,54.726,0.086,49.117,0.140,0.586,0.099,2.171,0.067
550.000,54.726,0.107,49.093,0.116,0.523,0.082,2.171,0.094
560.000,54.671,0.054,49.140,0.121,0.602,0.082,2.171,0.102
570.000,54.671,0.138,49.148,0.130,0.586,0.053,2.154,0.060
580.000,54.671,0.105,49.023,0.111,0.594,0.079,2.179,0.069
590.000,54.772,0.064,49.117,0.135,0.578,0.045,2.195,0.057
600.000,54.718,0.151,49.148,0.130,0.594,0.079,2.219,0.097
610.000,54.656,0.136,49.195,0.129,0.546,0.085,2.179,0.057
620.000,54.726,0.113,49.070,0.107,0.554,0.041,2.162,0.064
630.000,54.632,0.100,49.117,0.100,0.562,0.084,2.179,0.079
640.000,54.671,0.084,49.140,0.137,0.546,0.093,2.162,0.034
650.000,54.632,0.119,49.156,0.128,0.562,0.075,2.130,0.100
660.000,54.733,0.155,49.078,0.098,0.578,0.087,2.130,0.051
670.000,54.702,0.163,49.109,0.084,0.602,0.050,2.130,0.075
680.000,54.733,0.146,49.148,0.086,0.562,0.075,2.146,0.038
690.000,54.733,0.088,48.897,0.117,0.594,0.087,2.106,0.117
700.000,54.710,0.153,48.882,0.100,0.562,0.065,2.114,0.057
710.000,54.733,0.115,48.944,0.123,0.562,0.075,2.122,0.055
720.000,54.625,0.121,49.038,0.100,0.610,0.053,2.187,0.043
730.000,54.625,0.115,49.101,0.105,0.586,0.075,2.122,0.109
740.000,54.656,0.171,48.999,0.117,0.562,0.084,2.106,0.069
750.000,54.733,0.126,49.031,0.076,0.602,0.050,2.162,0.064
760.000,54.695,0.122,49.062,0.110,0.602,0.090,2.179,0.069
770.000,54.679,0.084,49.125,0.118,0.610,0.106,2.146,0.094
780.000,54.648,0.144,49.117,0.106,0.562,0.075,2.122,0.055
790.000,54.648,0.100,49.078,0.098,0.562,0.038,2.162,0.064
800.000,54.656,0.088,49.062,0.164,0.562,0.092,2.146,0.054
810.000,54.640,0.090,49.132,0.105,0.586,0.065,2.146,0.066
820.000,54.663,0.104,49.132,0.143,0.562,0.065,2.089,0.094
830.000,54.726,0.068,49.164,0.101,0.562,0.084,2.106,0.079
840.000,54.687,0.152,49.093,0.081,0.546,0.085,2.097,0.069
850.000,54.632,0.135,49.062,0.096,0.594,0.069,2.146,0.038
860.000,54.702,0.080,49.125,0.076,0.554,0.085,2.130,0.075
870.000,54.663,0.082,49.179,0.105,0.562,0.065,2.162,0.051
880.000,54.718,0.116,49.109,0.129,0.594,0.069,2.130,0.137
890.000,54.695,0.116,49.132,0.148,0.538,0.067,2.187,0.117
900.000,54.663,0.138,49.023,0.148,0.570,0.062,2.179,0.069
910.000,54.648,0.107,49.093,0.110,0.586,0.083,2.179,0.079
920.000,54.640,0.104,49.070,0.094,0.570,0.090,2.203,0.077
930.000,54.609,0.117,48.991,0.086,0.594,0.095,2.171,0.055
940.000,54.617,0.104,49.085,0.114,0.531,0.112,2.268,0.069
950.000,54.687,0.157,49.117,0.135,0.562,0.075,2.325,0.114
960.000,54.687,0.128,49.023,0.148,0.610,0.065,2.293,0.100
970.000,54.695,0.110,49.140,0.127,0.523,0.050,2.252,0.067
980.000,54.656,0.115,49.156,0.148,0.610,0.084,2.268,0.069
990.000,54.632,0.129,49.101,0.117,0.578,0.058,2.268,0.096
1000.000,54.609,0.152,49.148,0.114,0.570,0.073,2.268,0.079
1010.000,54.663,0.151,49.109,0.124,0.578,0.079,2.244,0.075
1020.000,54.617,0.138,49.117,0.118,0.523,0.050,2.293,0.051
1030.000,54.687,0.117,49.187,0.129,0.618,0.076,2.203,0.055
1040.000,54.640,0.104,49.219,0.062,0.578,0.069,2.268,0.079
1050.000,54.671,0.123,49.093,0.110,0.602,0.062,2.260,0.087
1060.000,54.523,0.084,49.101,0.117,0.554,0.067,2.244,0.092
1070.000,54.601,0.128,49.164,0.078,0.578,0.058,2.219,0.026
1080.000,54.562,0.137,49.211,0.065,0.554,0.085,2.219,0.105
1090.000,54.609,0.143,49.125,0.066,0.578,0.069,2.211,0.092
1100.000,54.578,0.131,49.109,0.084,0.546,0.093,2.195,0.079
1110.000,54.562,0.110,49.078,0.091,0.562,0.038,2.187,0.069
1120.000,54.648,0.119,49.132,0.105,0.570,0.082,2.211,0.051
1130.000,54.679,0.152,49.117,0.135,0.578,0.069,2.219,0.060
1140.000,54.625,0.136,49.125,0.153,0.594,0.045,2.211,0.084
1150.000,54.586,0.127,49.062,0.116,0.578,0.102,2.244,0.064
1160.000,54.562,0.082,49.148,0.140,0.602,0.062,2.195,0.057
1170.000,54.586,0.074,49.156,0.083,0.554,0.067,2.211,0.064
1180.000,54.625,0.109,48.999,0.123,0.578,0.045,2.162,0.092
1190.000,54.609,0.123,49.023,0.074,0.602,0.082,2.138,0.124
1200.000,54.593,0.066,48.850,0.183,0.594,0.087,2.146,0.054
1210.000,54.586,0.142,48.827,0.116,0.562,0.065,2.130,0.084
1220.000,54.640,0.132,48.733,0.124,0.578,0.058,2.187,0.096
1230.000,54.593,0.105,48.827,0.132,0.586,0.075,2.138,0.081
1240.000,54.671,0.111,48.889,0.106,0.594,0.087,2.122,0.102
1250.000,54.554,0.129,48.944,0.148,0.610,0.053,2.130,0.092
1260.000,54.593,0.105,48.858,0.089,0.538,0.055,2.179,0.087
1270.000,54.609,0.180,48.999,0.064,0.594,0.069,2.097,0.095
1280.000,54.554,0.093,48.834,0.130,0.586,0.053,2.171,0.109
1290.000,54.648,0.158,48.834,0.136,0.594,0.079,2.122,0.055
1300.000,54.632,0.068,48.858,0.152,0.562,0.084,2.195,0.079
1310.000,54.570,0.129,48.819,0.123,0.538,0.085,2.179,0.057
1320.000,54.562,0.082,48.929,0.136,0.562,0.075,2.219,0.071
1330.000,54.695,0.104,48.811,0.076,0.610,0.075,2.219,0.105
1340.000,54.593,0.123,48.866,0.105,0.594,0.058,2.171,0.067
1350.000,54.640,0.122,48.976,0.117,0.602,0.082,2.195,0.057
1360.000,54.656,0.115,48.858,0.103,0.618,0.067,2.244,0.064
1370.000,54.625,0.072,48.819,0.134,0.625,0.077,2.244,0.051
1380.000,54.671,0.123,48.725,0.135,0.562,0.106,2.244,0.075
1390.000,54.687,0.128,48.733,0.118,0.546,0.085,2.244,0.075
1400.000,54.718,0.137,48.827,0.116,0.570,0.062,2.309,0.054
1410.000,54.702,0.126,48.811,0.129,0.570,0.073,2.325,0.051
1420.000,54.632,0.129,48.842,0.123,0.586,0.053,2.341,0.057
1430.000,54.679,0.112,48.921,0.074,0.570,0.090,2.309,0.101
1440.000,54.679,0.148,48.913,0.136,0.586,0.075,2.325,0.051
1450.000,54.687,0.111,48.842,0.083,0.586,0.065,2.317,0.060
1460.000,54.617,0.110,48.717,0.129,0.578,0.045,2.236,0.046
1470.000,54.663,0.064,48.733,0.118,0.594,0.058,2.293,0.064
1480.000,54.695,0.064,48.882,0.076,0.554,0.119,2.309,0.121
1490.000,54.679,0.041,48.858,0.156,0.602,0.082,2.252,0.067
1500.000,54.671,0.148,48.929,0.145,0.515,0.095,2.244,0.100
1510.000,54.695,0.090,48.960,0.118,0.625,0.077,2.268,0.088
1520.000,54.663,0.133,48.921,0.165,0.594,0.087,2.268,0.043
1530.000,54.679,0.134,49.007,0.058,0.578,0.079,2.236,0.089
1540.000,54.687,0.128,48.968,0.084,0.531,0.075,2.228,0.077
1550.000,54.656,0.109,48.944,0.148,0.562,0.053,2.260,0.095
1560.000,54.757,0.112,48.952,0.112,0.610,0.065,2.252,0.055
1570.000,54.695,0.090,49.038,0.092,0.594,0.079,2.236,0.071
1580.000,54.702,0.088,48.960,0.140,0.586,0.075,2.244,0.064
1590.000,54.656,0.096,49.015,0.121,0.546,0.067,2.276,0.103
1600.000,54.733,0.080,49.031,0.124,0.546,0.067,2.293,0.064
1610.000,54.726,0.139,48.991,0.167,0.625,0.067,2.236,0.081
1620.000,54.702,0.102,49.007,0.107,0.594,0.058,2.293,0.075
1630.000,54.741,0.097,49.038,0.076,0.602,0.082,2.276,0.069
1640.000,54.710,0.119,48.944,0.105,0.594,0.087,2.301,0.105
1650.000,54.695,0.097,49.070,0.045,0.570,0.082,2.309,0.077
1660.000,54.757,0.112,49.038,0.112,0.546,0.067,2.358,0.042
1670.000,54.749,0.098,49.062,0.089,0.570,0.073,2.317,0.071
1680.000,54.718,0.172,49.054,0.139,0.578,0.058,2.390,0.086
1690.000,54.749,0.098,49.046,0.129,0.586,0.053,2.414,0.086
1700.000,54.726,0.202,49.046,0.106,0.562,0.075,2.406,0.084
1710.000,54.702,0.131,49.054,0.098,0.578,0.058,2.398,0.071
1720.000,54.679,0.112,49.070,0.094,0.570,0.050,2.414,0.077
1730.000,54.765,0.148,49.054,0.083,0.610,0.065,2.455,0.051
1740.000,54.718,0.097,49.085,0.114,0.618,0.055,2.447,0.086
1750.000,54.733,0.131,49.078,0.098,0.633,0.085,2.447,0.077
1760.000,54.757,0.112,49.054,0.105,0.578,0.069,2.463,0.060
1770.000,54.718,0.127,48.976,0.157,0.554,0.093,2.496,0.067
1780.000,54.803,0.139,48.983,0.089,0.625,0.067,2.496,0.055
1790.000,54.733,0.193,48.936,0.164,0.578,0.058,2.479,0.118
1800.000,54.811,0.126,49.038,0.106,0.594,0.045,2.520,0.087
1810.000,54.733,0.102,49.015,0.121,0.602,0.062,2.512,0.079
1820.000,54.803,0.139,49.015,0.081,0.649,0.050,2.569,0.100
1830.000,54.765,0.091,48.999,0.143,0.610,0.112,2.545,0.060
1840.000,54.741,0.147,48.913,0.094,0.578,0.069,2.545,0.081
1850.000,54.757,0.099,49.007,0.101,0.602,0.090,2.512,0.057
1860.000,54.788,0.093,48.999,0.083,0.570,0.082,2.536,0.092
1870.000,54.788,0.093,48.999,0.128,0.578,0.045,2.553,0.066
1880.000,54.710,0.093,48.983,0.160,0.562,0.106,2.545,0.097
1890.000,54.757,0.084,48.889,0.092,0.570,0.097,2.634,0.054
1900.000,54.710,0.129,48.999,0.083,0.578,0.058,2.545,0.060
1910.000,54.765,0.084,48.952,0.144,0.625,0.067,2.569,0.100
1920.000,54.726,0.086,48.968,0.055,0.586,0.053,2.561,0.089
1930.000,54.741,0.151,48.960,0.129,0.538,0.100,2.577,0.067
1940.000,54.733,0.131,48.921,0.064,0.578,0.079,2.610,0.067
1950.000,54.788,0.086,48.960,0.100,0.531,0.065,2.593,0.103
